stuID,schID,gender,pre_region,trans_stu,trans_pa,trans,pre_frendship_1a,pre_frendship_2a,pre_frendship_3a,pre_frendship_4a,pre_frendship_5a,pre_frendship_1b,pre_frendship_2b,pre_frendship_3b,pre_frendship_4b,pre_frendship_5b,pre_frendship_6b,post_frendship_1a,post_frendship_2a,post_frendship_3a,post_frendship_4a,post_frendship_5a,post_frendship_1b,post_frendship_2b,post_frendship_3b,post_frendship_4b,post_frendship_5b,post_frendship_6b,satisfac_stu_1,satisfac_stu_2,satisfac_stu_3,satisfac_stu_4,satisfac_stu_5,satisfac_pa_safety_1,satisfac_pa_safety_2,satisfac_pa_safety_3,satisfac_pa_safety_4,satisfac_pa_safety_5,satisfac_pa_safety_6,satisfac_pa_edu_1,satisfac_pa_edu_2,satisfac_pa_edu_3,satisfac_pa_edu_4,satisfac_pa_edu_5,satisfac_pa_edu_6,satisfac_pa_edu_7,satisfac_pa_edu_8,enthu_pa_1,enthu_pa_2,enthu_pa_3,enthu_pa_4,enthu_pa_5,enthu_pa_6,enthu_pa_7,enthu_pa_8,enthu_pa_9,enthu_pa_10,enthu_pa_11,SES,prefer_Hsch,prefer_Hsch_dum_1,prefer_Hsch_dum_2,prefer_Hsch_dum_3,prefer_Hsch_dum_4,prefer_Hsch_dum_5,prefer_Hsch_dum_6,prefer_Hsch_dum_7,prefer_Hsch_dum_8,academic_abil,trans_Y1,multicultur_per,sch_SES,sch_academic_abil
83,1003,2,1,2,2,0,4,3,2,2,4,5,3,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,2,4,3,4,4,3,3,3,3,3,3,3,3,5,3,4,4,3,2,2,1,2,2,3,4,2,48,1,1,0,0,0,0,0,0,0,102.6666667,1,19.64285714,409.8333333,197.825
84,1003,2,1,2,2,0,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,2,2,4,3,3,3,3,3,3,3,4,3,3,3,3,4,3,3,3,3,3,3,5,5,3,600,6,0,0,0,0,0,1,0,0,214.3333333,0,19.64285714,409.8333333,197.825
85,1003,2,1,2,2,0,5,4,4,5,4,4,4,4,4,4,3,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,4,4,3,2,3,4,4,3,380,1,1,0,0,0,0,0,0,0,217.3333333,0,19.64285714,409.8333333,197.825
86,1003,1,1,2,2,0,4,4,4,4,3,4,4,3,3,3,3,5,5,5,5,4,4,4,3,4,3,4,4,3,3,4,-1,2,3,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,2,2,3,4,3,2,350,2,0,1,0,0,0,0,0,0,198,0,19.64285714,409.8333333,197.825
87,1003,1,1,2,2,0,4,4,4,5,4,3,3,3,3,2,2,4,3,3,4,3,3,4,3,3,4,4,4,4,3,3,4,3,4,4,4,3,4,4,3,4,4,4,4,4,4,4,3,5,4,4,4,4,4,4,4,2,1000,5,0,0,0,0,1,0,0,0,187,0,19.64285714,409.8333333,197.825
88,1003,2,1,2,2,0,5,4,4,5,4,4,4,5,5,5,4,5,5,5,5,5,4,4,5,4,5,4,4,4,3,4,4,3,4,3,3,3,3,3,3,3,2,3,3,4,4,-1,3,4,4,4,3,2,3,3,3,3,150,1,1,0,0,0,0,0,0,0,183,0,19.64285714,409.8333333,197.825
89,1003,1,1,2,2,0,5,5,2,4,3,1,1,1,1,5,5,5,3,1,5,3,5,5,5,5,1,5,3,2,2,3,3,3,2,3,3,3,4,3,2,3,4,4,3,3,4,3,4,3,3,3,2,3,3,3,3,1,400,6,0,0,0,0,0,1,0,0,173,2,19.64285714,409.8333333,197.825
90,1003,1,1,2,2,0,5,4,5,5,4,4,3,4,4,4,4,1,3,3,1,2,3,3,3,3,2,2,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,3,3,3,4,4,4,3,350,1,1,0,0,0,0,0,0,0,227.3333333,0,19.64285714,409.8333333,197.825
91,1003,1,1,2,2,0,5,5,5,5,5,4,3,1,2,1,1,3,3,4,3,4,5,4,5,4,4,4,5,4,5,3,4,2,3,2,3,2,3,3,3,3,3,3,3,3,3,4,2,1,3,2,1,2,3,2,2,1,130,3,0,0,1,0,0,0,0,0,259.3333333,3,19.64285714,409.8333333,197.825
92,1003,1,1,2,2,0,5,5,4,5,5,5,4,5,5,5,5,3,5,4,4,4,5,3,3,5,5,4,5,5,5,5,5,3,3,4,4,4,4,3,3,3,3,4,4,4,4,5,5,5,4,3,4,3,4,4,4,4,400,4,0,0,0,1,0,0,0,0,157.3333333,1,19.64285714,409.8333333,197.825
93,1003,1,1,2,2,0,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,3,4,5,2,3,2,3,3,3,2,2,3,3,3,3,3,4,4,5,3,4,5,5,4,4,3,3,3,500,1,1,0,0,0,0,0,0,0,227,0,19.64285714,409.8333333,197.825
94,1003,1,1,2,2,0,5,5,5,5,5,5,5,1,5,5,5,5,4,5,5,4,4,4,4,4,4,5,5,5,5,5,5,1,1,2,1,1,3,4,4,5,4,5,3,1,4,3,3,2,4,5,4,2,4,4,4,3,100,2,0,1,0,0,0,0,0,0,149,0,19.64285714,409.8333333,197.825
95,1003,1,1,2,2,0,5,5,5,5,4,5,5,4,4,3,5,5,4,5,5,5,5,4,4,5,4,5,5,5,4,4,5,1,1,4,4,2,3,3,2,3,3,3,2,3,3,3,4,4,3,4,4,3,4,4,3,4,300,1,1,0,0,0,0,0,0,0,200.3333333,0,19.64285714,409.8333333,197.825
