"","stuID","schID","gender","trans_stu","transe_pa","transe_re","transe_re_etc","pre_frendship_1","pre_frendship_2","pre_frendship_3","pre_frendship_4","pre_frendship_5","post_frendship_1","post_frendship_2","post_frendship_3","post_frendship_4","post_frendship_5","post_frendship_6","satisfac_stu_1","satisfac_stu_2","satisfac_stu_3","satisfac_stu_4","satisfac_stu_5","satisfac_pa_safety_1","satisfac_pa_safety_2","satisfac_pa_safety_3","satisfac_pa_safety_4","satisfac_pa_safety_5","satisfac_pa_safety_6","satisfac_pa_edu_1","satisfac_pa_edu_2","satisfac_pa_edu_3","satisfac_pa_edu_4","satisfac_pa_edu_5","satisfac_pa_edu_6","satisfac_pa_edu_7","satisfac_pa_edu_8","enthu_pa_1","enthu_pa_2","enthu_pa_3","enthu_pa_4","enthu_pa_5","tutoring_hakwon","tutoring_private","tutoring_online","SES","prefer_Hsch_dum_1","prefer_Hsch_dum_2","prefer_Hsch_dum_3","prefer_Hsch_dum_4","prefer_Hsch_dum_5","prefer_Hsch_dum_6","prefer_Hsch_dum_7","prefer_Hsch_dum_8","prefer_Hsch_dum_9","prefer_Hsch_dum_10","academic_abil","regional_scale","multicultur_per","L2Y3_REG","L2Y3DB2_2_2","L2Y3DB2_3_1","L2Y3DB2_3_2"
"3939",3983,5020,1,2,2,NA,NA,3,3,3,3,3,3,3,4,4,3,4,4,4,4,3,4,4,4,4,4,3,5,4,5,5,4,4,4,4,5,4,4,3,4,4,9,-5,-5,600,1,0,0,0,0,0,0,0,0,0,"233.3333333",NA,NA,4,267,4,0
"3940",3984,5020,1,2,2,NA,NA,3,4,3,2,3,3,3,3,3,3,3,1,1,2,3,2,4,2,4,4,4,4,4,3,5,4,5,4,5,5,4,-1,-1,-1,-1,-5,-5,-5,300,0,0,0,0,0,0,0,0,0,1,"160.3333333",NA,NA,4,267,4,0
"3941",3985,5017,2,2,2,NA,NA,3,3,3,4,4,5,5,5,5,5,5,2,3,4,3,3,3,3,3,3,4,4,4,4,5,4,4,4,4,4,4,4,3,3,2,0,0,0,400,1,0,0,0,0,0,0,0,0,0,"181",NA,NA,4,463,7,0
"3942",3986,5020,2,2,2,NA,NA,3,3,4,4,2,3,3,3,3,3,3,4,4,3,3,3,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,10,-2,-5,400,1,0,0,0,0,0,0,0,0,0,"192.6666667",NA,NA,4,267,4,0
"3943",3987,5036,1,NA,NA,NA,NA,5,5,4,4,4,NA,NA,NA,NA,NA,NA,3,3,2,1,2,4,5,5,5,4,4,3,4,4,4,4,4,4,4,4,3,4,4,5,5,-5,-5,250,0,1,0,0,0,0,0,0,0,0,"194.3333333",NA,NA,3,277,7,0
"3944",3988,5020,1,2,2,NA,NA,4,5,5,5,5,5,4,4,5,3,4,5,5,5,5,5,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,4,4,3,4,6,-5,-3,450,0,0,1,0,0,0,0,0,0,0,"162.3333333",NA,NA,4,267,4,0
"3945",3989,5020,1,2,2,NA,NA,5,5,5,5,5,5,5,5,5,5,5,4,3,3,5,5,4,3,3,3,2,3,2,3,3,3,2,4,4,4,2,2,3,3,3,11,0,0,520,0,0,0,0,1,0,0,0,0,0,"162.3333333",NA,NA,4,267,4,0
"3946",3990,5020,2,2,2,NA,NA,3,3,1,3,3,4,4,4,4,4,4,2,2,2,2,2,4,4,3,3,3,4,3,3,4,3,4,4,4,4,4,3,3,3,3,11,-5,-5,130,0,0,1,0,0,0,0,0,0,0,"205.3333333",NA,NA,4,267,4,0
"3947",3991,5020,2,2,2,NA,NA,5,5,5,5,5,4,4,4,4,4,4,4,4,3,4,5,4,4,3,3,4,4,3,3,3,3,4,4,4,4,3,3,3,2,2,10,-5,-5,500,1,0,0,0,0,0,0,0,0,0,"222",NA,NA,4,267,4,0
"3948",3992,5020,2,2,2,NA,NA,3,4,3,3,4,3,4,4,3,1,3,4,3,2,4,5,4,4,4,4,4,4,5,4,5,5,4,4,3,3,1,1,1,1,1,0,0,0,300,0,0,1,0,0,0,0,0,0,0,"202.6666667",NA,NA,4,267,4,0
"3949",3993,5020,2,2,2,NA,NA,5,4,4,5,3,4,3,4,4,2,3,5,5,3,3,4,3,3,3,4,4,4,3,4,3,3,4,3,3,3,4,4,3,4,4,15,-5,-5,250,0,0,1,0,0,0,0,0,0,0,"257.6666667",NA,NA,4,267,4,0
"3950",3994,5020,2,2,2,NA,NA,3,3,3,3,2,3,3,3,3,3,3,1,1,1,1,1,4,3,4,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,18,0,0,500,1,0,0,0,0,0,0,0,0,0,"166.3333333",NA,NA,4,267,4,0
"3951",3995,5020,2,2,2,NA,NA,5,4,4,4,4,4,4,4,4,4,4,3,3,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,"216.3333333",NA,NA,4,267,4,0
"3952",3996,5020,1,2,2,NA,NA,5,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,4,2,3,4,3,3,3,3,3,3,3,3,3,3,4,4,2,4,4,1,0,-5,500,1,0,0,0,0,0,0,0,0,0,"241.3333333",NA,NA,4,267,4,0
"3953",3997,5020,1,2,2,NA,NA,4,4,3,4,3,3,3,4,3,3,3,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,1,2,5,7,-5,-5,800,1,0,0,0,0,0,0,0,0,0,"204.3333333",NA,NA,4,267,4,0
"3954",3998,5018,1,2,2,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,2,2,3,2,3,3,3,3,3,4,4,3,4,2,4,3,2,3,0,0,0,200,0,1,0,0,0,0,0,0,0,0,"169",NA,NA,4,90,4,1
"3955",3999,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"#N/A",NA,NA,NA,NA,NA,NA
"3956",4000,5018,1,2,2,NA,NA,3,4,3,4,4,1,1,1,1,1,2,3,3,3,4,4,2,2,2,3,3,3,3,3,3,3,3,2,3,4,3,3,3,3,3,-5,-1.1,-5,400,0,1,0,0,0,0,0,0,0,0,"156",NA,NA,4,90,4,1
"3957",4001,5020,1,2,2,NA,NA,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,5,4,4,4,4,4,4,4,4,0,0,0,800,1,0,0,0,0,0,0,0,0,0,"212.6666667",NA,NA,4,267,4,0
"3958",4002,5020,1,2,2,NA,NA,4,4,4,4,4,5,5,5,5,5,5,4,5,5,4,5,3,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,3,3,4,12,0,0,400,1,0,0,0,0,0,0,0,0,0,"185.6666667",NA,NA,4,267,4,0
"3959",4003,5034,2,2,2,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,2,3,2,2,3,3,3,3,3,3,3,3,3,3,4,3,3,2,0,0,0,400,1,0,0,0,0,0,0,0,0,0,"211",NA,NA,3,418,7,0
"3960",4004,5020,2,2,2,NA,NA,4,4,4,4,4,3,3,3,3,3,3,4,3,3,3,4,3,4,2,3,3,3,4,4,3,3,4,4,3,3,4,3,3,3,2,-4,-5,-5,280,1,0,0,0,0,0,0,0,0,0,"199.3333333",NA,NA,4,267,4,0
"3961",4005,5059,2,NA,NA,NA,NA,4,4,4,4,5,NA,NA,NA,NA,NA,NA,4,3,3,4,5,3,3,3,3,2,3,3,3,4,3,4,3,3,5,3,4,2,3,2,7,-5,-5,550,1,0,0,0,0,0,0,0,0,0,"246.6666667",NA,NA,4,337,5,0
"3962",4006,5020,2,2,2,NA,NA,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,-5,-5,2.5,270,1,0,0,0,0,0,0,0,0,0,"157",NA,NA,4,267,4,0
"3963",4007,5020,1,2,2,NA,NA,5,3,3,4,3,4,4,3,3,3,4,3,3,4,4,3,3,4,3,3,3,4,3,3,4,3,3,4,4,4,3,2,2,2,2,-5,-5,-2,200,1,0,0,0,0,0,0,0,0,0,"141.3333333",NA,NA,4,267,4,0
"3964",4009,4954,1,2,2,NA,NA,4,3,3,4,2,4,5,4,5,4,5,5,2,1,4,2,3,2,3,3,5,3,4,3,3,3,4,4,4,4,3,3,4,4,3,6,-5,0,200,0,1,0,0,0,0,0,0,0,0,"134.3333333",NA,NA,3,245,3,0
"3965",4010,4950,1,1,1,1,NA,5,5,5,5,5,4,3,3,4,4,3,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,5,5,3,3,4,4,4,4,1,0,0,0,180,1,0,0,0,0,0,0,0,0,0,"171",NA,NA,3,208,3,0
"3966",4011,4954,1,2,2,NA,NA,4,4,4,4,4,-1,-1,-1,-1,-1,-1,4,3,3,4,4,4,3,2,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,3,0,0,0,270,1,0,0,0,0,0,0,0,0,0,"215",NA,NA,3,245,3,0
