stuID,schID,gender,trans_stu,transe_pa,transe_re,transe_re_etc,pre_frendship_1,pre_frendship_2,pre_frendship_3,pre_frendship_4,pre_frendship_5,post_frendship_1,post_frendship_2,post_frendship_3,post_frendship_4,post_frendship_5,post_frendship_6,satisfac_stu_1,satisfac_stu_2,satisfac_stu_3,satisfac_stu_4,satisfac_stu_5,satisfac_pa_safety_1,satisfac_pa_safety_2,satisfac_pa_safety_3,satisfac_pa_safety_4,satisfac_pa_safety_5,satisfac_pa_safety_6,satisfac_pa_edu_1,satisfac_pa_edu_2,satisfac_pa_edu_3,satisfac_pa_edu_4,satisfac_pa_edu_5,satisfac_pa_edu_6,satisfac_pa_edu_7,satisfac_pa_edu_8,enthu_pa_1,enthu_pa_2,enthu_pa_3,enthu_pa_4,enthu_pa_5,tutoring_hakwon,tutoring_private,tutoring_online,SES,prefer_Hsch_dum_1,prefer_Hsch_dum_2,prefer_Hsch_dum_3,prefer_Hsch_dum_4,prefer_Hsch_dum_5,prefer_Hsch_dum_6,prefer_Hsch_dum_7,prefer_Hsch_dum_8,prefer_Hsch_dum_9,prefer_Hsch_dum_10,academic_abil
1958,4472,2,2,2,,,5,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4,4,4,5,5,4,4,4,3,5,4,3,5,4,4,4,3,3,6,-5,-5,395,1,0,0,0,0,0,0,0,0,0,194.3333333
1959,4472,2,2,2,,,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,1,1,-5,-1,0,0,0,0,0,0,0,1,0,0,235.3333333
1960,4472,2,2,2,,,4,4,3,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,3,3,2,3,3,3,4,2,3,4,3,3,4,4,3,3,4,10,0,0,700,1,0,0,0,0,0,0,0,0,0,272.6666667
1961,4472,2,2,2,,,4,4,4,5,4,4,4,4,4,4,4,2,3,3,2,3,3,2,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,0,0,0,250,0,1,0,0,0,0,0,0,0,0,210.3333333
1962,4481,2,2,2,,,4,5,3,4,5,4,4,3,3,3,4,3,3,1,3,1,4,5,4,3,3,3,4,3,4,3,4,4,3,4,3,3,4,3,2,0,0,6,500,1,0,0,0,0,0,0,0,0,0,172.6666667
1963,4472,1,2,2,,,5,5,5,5,5,4,4,4,4,4,4,5,3,4,5,5,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,185.6666667
1964,4472,1,2,2,,,5,5,5,5,5,3,3,3,3,3,3,5,5,5,5,5,5,5,4,4,4,4,3,3,3,3,4,4,4,4,4,4,2,3,3,-1,0,1,280,1,0,0,0,0,0,0,0,0,0,143.6666667
1965,4472,1,2,2,,,5,5,5,5,5,4,4,3,4,4,4,4,4,4,5,5,4,4,4,5,5,4,4,4,5,5,5,4,5,5,5,5,5,5,5,0,0,0,300,1,0,0,0,0,0,0,0,0,0,176
1966,4472,1,2,2,,,5,5,5,5,4,5,5,5,5,5,5,5,5,4,4,5,3,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,1,9,0,0,400,1,0,0,0,0,0,0,0,0,0,180.6666667
1967,4472,1,2,2,,,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,176.6666667
1968,4481,1,2,2,,,4,4,5,4,4,5,5,5,5,5,5,5,4,4,5,5,3,2,3,2,2,3,3,3,3,3,3,3,4,4,4,4,3,4,3,4,-5,-5,520,1,0,0,0,0,0,0,0,0,0,198.3333333
1969,5274,1,2,2,,,5,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,600,0,0,0,0,1,0,0,0,0,0,161.6666667
1970,4481,2,2,2,,,4,4,4,4,4,5,5,5,5,5,5,3,4,3,4,4,3,2,3,2,2,3,3,4,4,3,4,2,3,3,4,4,4,4,3,2,0,0,300,1,0,0,0,0,0,0,0,0,0,254.6666667
1971,4473,2,2,2,,,4,4,4,3,4,4,4,4,4,4,4,3,3,2,3,3,3,2,2,2,3,4,3,4,3,5,5,-1,-1,-1,4,4,4,4,3,9,-1,-3,400,1,0,0,0,0,0,0,0,0,0,234.6666667
1972,4473,2,2,2,,,5,4,4,4,4,4,4,4,4,4,5,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,5,-5,-5,400,1,0,0,0,0,0,0,0,0,0,192
