stuID,schID,gender,pre_region,trans,pre_frendship_1,pre_frendship_2,pre_frendship_3,pre_frendship_4,pre_frendship_5,post_frendship_1,post_frendship_2,post_frendship_3,post_frendship_4,post_frendship_5,post_frendship_6,satisfac_stu_1,satisfac_stu_2,satisfac_stu_3,satisfac_stu_4,satisfac_stu_5,satisfac_pa_safety_1,satisfac_pa_safety_2,satisfac_pa_safety_3,satisfac_pa_safety_4,satisfac_pa_safety_5,satisfac_pa_safety_6,satisfac_pa_edu_1,satisfac_pa_edu_2,satisfac_pa_edu_3,satisfac_pa_edu_4,satisfac_pa_edu_5,satisfac_pa_edu_6,satisfac_pa_edu_7,satisfac_pa_edu_8,enthu_pa_1,enthu_pa_2,enthu_pa_3,enthu_pa_4,enthu_pa_5,SES,prefer_Hsch_dum_1,prefer_Hsch_dum_2,prefer_Hsch_dum_3,prefer_Hsch_dum_4,prefer_Hsch_dum_5,prefer_Hsch_dum_6,prefer_Hsch_dum_7,prefer_Hsch_dum_8,prefer_Hsch_dum_9,prefer_Hsch_dum_10,academic_abil,multicultur_per,seoul,bigcity,smallcity,rural,sch_SES,sch_academic_abil
7017,4177,2,3,0,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,4,4,3,3,4,3,4,3,4,4,3,3,2,100,1,0,0,0,0,0,0,0,0,0,185.3333333,4.615384615,0,0,1,0,341.6,192.6666667
7018,4176,2,3,0,4,3,3,3,3,4,4,4,3,2,4,2,2,3,3,2,2,2,2,3,2,3,4,4,3,3,4,4,4,4,4,4,3,4,4,190,0,1,0,0,0,0,0,0,0,0,150,3.06122449,0,0,1,0,391.25,168.8333333
7019,4175,2,3,0,5,4,4,4,5,4,4,2,3,2,3,4,4,4,5,4,4,4,3,3,3,3,4,3,4,3,4,4,3,3,4,4,4,1,1,1500,1,0,0,0,0,0,0,0,0,0,246.3333333,2.955665025,0,0,1,0,539.2857143,195.1666667
7021,4176,1,3,0,3,4,4,4,3,3,4,3,4,4,4,4,3,3,3,3,3,4,3,4,3,4,4,4,4,4,5,4,4,4,4,4,4,3,4,230,1,0,0,0,0,0,0,0,0,0,190.3333333,3.06122449,0,0,1,0,391.25,168.8333333
7022,4176,1,3,0,5,4,4,4,4,3,3,3,3,3,3,1,1,1,1,1,4,4,4,4,3,4,3,3,5,3,4,4,3,4,4,4,3,3,4,300,0,1,0,0,0,0,0,0,0,0,122.3333333,3.06122449,0,0,1,0,391.25,168.8333333
7023,4175,2,3,0,4,4,3,4,4,4,4,4,4,4,4,3,3,3,3,4,3,3,3,3,3,3,4,4,4,4,4,2,4,4,4,4,3,3,2,1000,0,0,0,1,0,0,0,0,0,0,208,2.955665025,0,0,1,0,539.2857143,195.1666667
7024,4175,2,3,0,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,1,310,0,0,0,0,0,0,0,1,0,0,183.6666667,2.955665025,0,0,1,0,539.2857143,195.1666667
7025,4175,2,3,0,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,150,1,0,0,0,0,0,0,0,0,0,141.3333333,2.955665025,0,0,1,0,539.2857143,195.1666667
7026,4175,2,3,0,5,3,3,5,3,4,3,3,3,3,2,3,3,2,3,3,4,3,4,3,3,2,4,4,4,4,4,4,4,4,2,2,3,2,2,700,1,0,0,0,0,0,0,0,0,0,209.3333333,2.955665025,0,0,1,0,539.2857143,195.1666667
7027,4177,2,3,0,4,3,3,3,3,4,4,5,5,5,5,3,3,2,3,3,4,3,2,3,4,2,3,3,3,3,3,3,3,3,1,4,4,3,1,300,0,1,0,0,0,0,0,0,0,0,198.3333333,4.615384615,0,0,1,0,341.6,192.6666667
7028,4178,1,3,0,4,4,3,4,3,4,4,2,3,2,4,3,4,3,4,4,4,3,4,3,3,3,4,4,4,4,5,4,4,4,4,5,5,4,5,550,0,0,1,0,0,0,0,0,0,0,246.3333333,4.761904762,0,0,1,0,364,219.2666667
7031,4036,1,4,0,5,5,5,5,5,5,5,5,5,5,5,4,3,3,1,5,3,2,2,2,1,3,3,3,3,3,3,3,3,3,4,4,3,3,4,400,1,0,0,0,0,0,0,0,0,0,167.3333333,13.84615385,0,0,0,1,407.1212121,207.0185185
7032,4036,2,4,0,4,4,4,4,4,5,5,5,5,5,5,4,4,3,4,4,4,4,4,4,4,4,3,2,3,3,3,3,3,3,4,4,2,2,4,250,0,0,1,0,0,0,0,0,0,0,254.6666667,13.84615385,0,0,0,1,407.1212121,207.0185185
7033,4036,2,4,0,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,2,3,3,3,3,4,3,3,3,3,4,4,2,3,3,2,350,1,0,0,0,0,0,0,0,0,0,179,13.84615385,0,0,0,1,407.1212121,207.0185185
7034,4036,2,4,0,5,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,3,2,3,3,2,2,3,3,2,3,3,3,3,3,4,4,3,3,4,1000,0,0,0,0,0,0,1,0,0,0,209.3333333,13.84615385,0,0,0,1,407.1212121,207.0185185
7036,4036,2,4,0,5,3,5,5,3,3,5,5,5,5,5,5,5,5,5,1,2,1,2,4,2,3,3,3,3,3,3,3,3,3,4,4,3,4,4,500,0,0,0,0,0,0,1,0,0,0,169,13.84615385,0,0,0,1,407.1212121,207.0185185
7037,4036,2,4,0,4,4,4,4,3,3,3,3,3,4,4,4,3,1,3,3,4,4,4,2,4,3,2,1,2,4,4,4,4,3,4,4,4,4,1,500,1,0,0,0,0,0,0,0,0,0,180.3333333,13.84615385,0,0,0,1,407.1212121,207.0185185
7041,4036,2,4,0,3,3,3,4,4,3,3,3,3,4,4,3,2,1,3,3,2,2,2,2,2,3,2,2,2,2,3,3,3,3,3,3,3,3,3,200,1,0,0,0,0,0,0,0,0,0,170.6666667,13.84615385,0,0,0,1,407.1212121,207.0185185
7042,4998,1,3,0,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,3,3,5,4,4,4,4,4,3,4,4,4,5,5,5,4,4,1,705,0,0,0,1,0,0,0,0,0,0,242,0,0,0,1,0,705,242
7043,4036,2,4,0,4,4,3,4,4,5,5,5,5,5,5,3,4,4,4,4,4,2,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,240,0,0,0,0,0,0,0,1,0,0,240.3333333,13.84615385,0,0,0,1,407.1212121,207.0185185
7044,4036,1,4,0,5,5,5,5,4,4,5,4,4,4,5,5,5,4,3,4,3,2,2,3,4,4,3,3,3,3,3,3,3,3,4,4,4,3,3,150,0,0,0,0,0,0,1,0,0,0,207.6666667,13.84615385,0,0,0,1,407.1212121,207.0185185
7045,4036,1,4,0,3,3,3,3,4,4,4,4,4,4,4,5,5,3,3,3,3,2,3,2,3,4,4,4,3,3,4,4,4,3,4,4,3,3,2,170,0,1,0,0,0,0,0,0,0,0,171.3333333,13.84615385,0,0,0,1,407.1212121,207.0185185
7046,4036,1,4,0,5,4,4,5,4,4,4,4,4,4,4,5,4,3,4,3,3,5,3,4,3,3,3,3,4,3,4,4,3,4,3,3,3,2,2,250,1,0,0,0,0,0,0,0,0,0,231,13.84615385,0,0,0,1,407.1212121,207.0185185
7048,4036,1,4,0,5,5,4,4,5,5,5,4,4,4,4,4,5,5,3,5,3,3,3,3,3,3,3,2,4,3,3,2,3,4,5,5,5,4,5,1000,0,0,0,1,0,0,0,0,0,0,275.6666667,13.84615385,0,0,0,1,407.1212121,207.0185185
7049,4036,1,4,0,5,5,5,5,5,4,4,4,4,4,4,3,3,3,4,4,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,300,1,0,0,0,0,0,0,0,0,0,230.3333333,13.84615385,0,0,0,1,407.1212121,207.0185185
7050,4036,1,4,0,5,4,4,3,4,3,4,4,3,4,5,2,2,3,3,2,3,2,4,3,2,2,2,3,2,1,3,3,3,4,1,3,2,4,5,800,1,0,0,0,0,0,0,0,0,0,146,13.84615385,0,0,0,1,407.1212121,207.0185185
7051,4036,1,4,0,5,5,5,5,5,4,4,3,4,4,3,4,3,3,4,4,3,2,4,3,3,4,3,3,3,4,4,3,4,3,3,4,3,3,3,300,1,0,0,0,0,0,0,0,0,0,199.3333333,13.84615385,0,0,0,1,407.1212121,207.0185185
7053,4036,2,4,0,4,5,5,5,5,3,3,3,3,3,4,3,3,1,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,4,400,0,0,0,0,0,0,1,0,0,0,241,13.84615385,0,0,0,1,407.1212121,207.0185185
7054,4036,2,4,0,3,3,3,4,3,4,3,2,3,2,3,3,4,3,3,3,2,4,2,3,3,4,3,3,4,3,4,3,4,3,4,3,2,3,2,450,1,0,0,0,0,0,0,0,0,0,248.6666667,13.84615385,0,0,0,1,407.1212121,207.0185185
7055,4036,2,4,0,5,5,5,5,5,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,500,0,0,0,0,0,0,1,0,0,0,176,13.84615385,0,0,0,1,407.1212121,207.0185185
7056,4036,2,4,0,5,5,5,5,5,5,5,5,5,5,5,2,3,1,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,2,345,1,0,0,0,0,0,0,0,0,0,213.6666667,13.84615385,0,0,0,1,407.1212121,207.0185185
7057,4036,2,4,0,2,3,3,3,4,2,2,3,3,1,2,2,2,2,3,3,3,2,3,3,3,3,3,2,3,3,4,3,3,4,3,3,3,2,3,250,1,0,0,0,0,0,0,0,0,0,191,13.84615385,0,0,0,1,407.1212121,207.0185185
7058,4036,1,4,0,4,4,2,4,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,4,300,0,0,0,0,0,0,1,0,0,0,193.3333333,13.84615385,0,0,0,1,407.1212121,207.0185185
7059,4036,2,4,0,4,4,4,4,4,4,4,3,4,3,3,3,3,4,3,4,4,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,2,2,2,160,1,0,0,0,0,0,0,0,0,0,219.3333333,13.84615385,0,0,0,1,407.1212121,207.0185185
7061,4036,1,4,0,5,5,5,5,5,4,4,4,4,4,5,4,4,3,5,5,2,2,3,4,4,3,4,4,4,4,3,3,3,3,4,4,2,3,1,350,1,0,0,0,0,0,0,0,0,0,227.3333333,13.84615385,0,0,0,1,407.1212121,207.0185185
7062,4034,1,4,0,4,3,3,3,3,4,4,3,4,3,4,3,3,4,4,4,3,4,2,4,2,3,3,3,3,4,3,3,3,3,4,4,2,2,1,350,1,0,0,0,0,0,0,0,0,0,205,3.846153846,0,0,0,1,350,205
7063,4036,1,4,0,4,4,5,5,4,4,4,4,4,3,4,3,3,3,3,4,2,2,3,2,2,3,4,4,4,4,3,3,3,3,2,3,2,2,3,250,1,0,0,0,0,0,0,0,0,0,171,13.84615385,0,0,0,1,407.1212121,207.0185185
7064,4036,2,4,0,5,5,4,5,4,4,4,4,4,4,4,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,3,3,2,320,1,0,0,0,0,0,0,0,0,0,210,13.84615385,0,0,0,1,407.1212121,207.0185185
7065,4036,1,4,0,5,5,5,5,5,3,4,4,4,3,4,4,4,5,5,5,4,4,4,4,4,4,4,2,4,4,4,4,4,4,2,5,5,5,5,200,0,0,0,0,0,1,0,0,0,0,226.3333333,13.84615385,0,0,0,1,407.1212121,207.0185185
