stuID,schID,gender,pre_region,trans_stu,transe_pa,transe_re,transe_re_etc,pre_frendship_1,pre_frendship_2,pre_frendship_3,pre_frendship_4,pre_frendship_5,post_frendship_1,post_frendship_2,post_frendship_3,post_frendship_4,post_frendship_5,post_frendship_6,satisfac_stu_1,satisfac_stu_2,satisfac_stu_3,satisfac_stu_4,satisfac_stu_5,satisfac_pa_safety_1,satisfac_pa_safety_2,satisfac_pa_safety_3,satisfac_pa_safety_4,satisfac_pa_safety_5,satisfac_pa_safety_6,satisfac_pa_edu_1,satisfac_pa_edu_2,satisfac_pa_edu_3,satisfac_pa_edu_4,satisfac_pa_edu_5,satisfac_pa_edu_6,satisfac_pa_edu_7,satisfac_pa_edu_8,enthu_pa_1,enthu_pa_2,enthu_pa_3,enthu_pa_4,enthu_pa_5,tutoring_hakwon,tutoring_private,tutoring_online,SES,prefer_Hsch_dum_1,prefer_Hsch_dum_2,prefer_Hsch_dum_3,prefer_Hsch_dum_4,prefer_Hsch_dum_5,prefer_Hsch_dum_6,prefer_Hsch_dum_7,prefer_Hsch_dum_8,prefer_Hsch_dum_9,prefer_Hsch_dum_10,academic_abil,multicultur_per
1076,#N/A,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1077,4619,2,1,2,2,#N/A,#N/A,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,2,2,4,4,3,4,3,3,3,4,5,3,4,3,3,2,2,-5,-5,500,1,0,0,0,0,0,0,0,0,0,276.3333333,0.240384615
1078,4619,1,1,2,2,#N/A,#N/A,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,3,3,2,3,2,3,3,3,2,2,3,1,2,3,2,2,2,3,3,0,0,0,500,1,0,0,0,0,0,0,0,0,0,284.6666667,0.240384615
1079,4610,2,1,2,2,#N/A,#N/A,5,4,4,4,4,4,4,4,4,4,4,4,3,2,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,2,2,2,2,3,18,0,0,500,1,0,0,0,0,0,0,0,0,0,207.3333333,1.818181818
1080,4614,2,1,2,2,#N/A,#N/A,5,4,4,4,4,4,4,3,4,3,4,4,4,3,4,4,4,4,4,4,3,3,2,2,3,3,3,3,3,3,5,4,3,2,4,14,-5,2,1000,1,0,0,0,0,0,0,0,0,0,289,2.236421725
1081,4614,2,1,2,2,#N/A,#N/A,3,5,3,3,5,4,4,3,4,2,3,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,11,0,3,500,0,0,0,0,0,0,1,0,0,0,278,2.236421725
1082,4614,2,1,2,2,#N/A,#N/A,5,5,5,5,5,4,3,3,4,4,4,4,4,2,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,5,4,4,3,4,13.5,-5,-5,600,1,0,0,0,0,0,0,1,0,0,250.3333333,2.236421725
1083,4614,2,1,2,2,#N/A,#N/A,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,5,4,4,4,4,3,4,3,3,3,3,4,3,4,3,4,4,3,4,4,2,-5,-5,500,0,0,1,0,0,0,0,0,0,0,274.3333333,2.236421725
1084,4614,1,1,2,2,#N/A,#N/A,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,4,3,4,3,3,4,4,4,5,5,5,4,4,5,4,4,3,3,2,-5,-5,0,530,0,0,0,0,0,0,1,0,0,0,122.3333333,2.236421725
1085,4614,2,1,2,2,#N/A,#N/A,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,2,3,5,3,3,3,4,3,3,3,3,3,4,4,3,3,4,9,-5,-5,400,0,0,1,0,0,0,0,1,0,0,277,2.236421725
1086,4614,2,1,2,2,#N/A,#N/A,4,4,4,4,4,4,4,4,4,4,4,3,3,2,3,3,4,4,3,3,3,4,3,3,3,3,3,3,4,4,4,3,3,2,3,12,0,0,550,0,0,1,0,0,0,0,0,0,0,208.6666667,2.236421725
1087,4614,2,1,2,2,#N/A,#N/A,4,4,4,4,4,4,4,2,3,3,4,4,4,4,3,4,3,3,4,3,3,4,3,3,3,4,3,3,4,4,5,5,4,4,3,18,0,0,500,0,0,0,0,0,0,0,1,0,0,286.3333333,2.236421725
1088,4049,1,3,2,2,#N/A,#N/A,4,4,5,5,5,5,4,5,5,5,5,5,5,3,4,5,5,2,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,2,2,-5,6,-5,500,1,0,0,0,0,0,0,0,0,0,214.6666667,0
1090,4614,1,1,2,2,#N/A,#N/A,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,-1,0,0,800,0,0,0,0,0,0,0,1,0,0,189,2.236421725
1091,4614,1,1,2,2,#N/A,#N/A,4,4,3,5,4,4,5,4,5,4,5,3,3,4,4,4,4,4,3,3,3,4,3,3,3,3,3,3,3,3,5,5,5,4,3,-5,1,-5,750,1,0,0,0,0,0,0,0,0,0,202.6666667,2.236421725
1092,4614,2,1,2,2,#N/A,#N/A,5,5,5,5,5,5,5,3,4,4,5,4,4,5,5,5,3,3,3,3,3,2,3,2,3,2,3,3,3,3,4,4,4,2,4,9,-5,-5,-1,0,0,1,0,0,0,0,0,0,0,288.3333333,2.236421725
1093,4075,1,3,2,2,#N/A,#N/A,5,5,5,5,5,3,3,3,3,3,3,4,2,3,5,5,5,4,3,4,4,4,3,3,4,3,4,4,4,4,3,4,4,2,1,-1,-5,-5,400,1,0,0,0,0,0,0,0,0,0,187,3.007518797
1094,4614,1,1,2,2,#N/A,#N/A,4,4,4,4,3,4,4,4,4,4,4,4,4,2,4,4,3,3,4,3,3,4,4,4,4,4,4,3,3,4,5,5,4,4,2,15,0,0,550,0,0,0,0,0,0,0,1,0,0,273.6666667,2.236421725
